"YearBuilt","YearRemodeled","Condition","NumStories","FinSqFt","Bedroom","FullBath","HalfBath","TotalRooms","LotSize","TotalValue","City"
1997,NA,"Good",2,1728,4,3,0,7,0.334,318800,"CHARLOTTESVILLE"
1998,NA,"Good",2,2584,5,3,1,8,0.333,399300,"CHARLOTTESVILLE"
1997,NA,"Good",2,2080,4,2,1,8,0.407,405800,"CHARLOTTESVILLE"
1990,NA,"Average",1.9,3458,4,3,1,10,0.798,613100,"CHARLOTTESVILLE"
1990,NA,"Average",1.7,3628,4,3,1,8,0.567,633000,"CHARLOTTESVILLE"
1990,NA,"Average",1.6,3919,6,4,1,12,0.686,838400,"CHARLOTTESVILLE"
1990,NA,"Average",2,3144,4,3,1,9,1.001,648800,"CHARLOTTESVILLE"
1991,NA,"Average",1.5,3818,3,3,1,8,1.016,803500,"CHARLOTTESVILLE"
1993,NA,"Average",2.5,3468,4,5,1,9,0.766,660600,"CHARLOTTESVILLE"
1993,NA,"Average",2,3176,4,3,1,10,0.747,596500,"CHARLOTTESVILLE"
1990,NA,"Average",2,3991,4,4,1,10,0.837,667300,"CHARLOTTESVILLE"
1991,NA,"Average",1.7,3299,4,3,1,9,0.577,614000,"CHARLOTTESVILLE"
1989,NA,"Average",2,3295,4,3,1,9,0.537,658100,"CHARLOTTESVILLE"
1989,2018,"Good",2,2729,4,2,1,9,0.39,530400,"CHARLOTTESVILLE"
1989,NA,"Average",2,3248,5,3,0,9,0.29,635100,"CHARLOTTESVILLE"
1991,NA,"Average",2,2729,5,3,0,9,0.28,508000,"CHARLOTTESVILLE"
1990,NA,"Average",2,2980,4,2,1,8,0.337,542000,"CHARLOTTESVILLE"
1990,NA,"Average",2,2830,5,3,0,9,0.287,493000,"CHARLOTTESVILLE"
1991,NA,"Average",1.7,3136,4,3,1,8,0.289,571700,"CHARLOTTESVILLE"
1990,NA,"Average",2,2790,4,2,1,10,0.567,584000,"CHARLOTTESVILLE"
1989,NA,"Average",1.75,3824,7,3,1,10,0.522,683100,"CHARLOTTESVILLE"
1990,NA,"Average",1.3,2742,4,2,2,7,0.43,604500,"CHARLOTTESVILLE"
1989,NA,"Average",1.4,2528,2,2,1,7,0.381,615700,"CHARLOTTESVILLE"
1991,NA,"Average",2,2544,3,3,1,9,0.272,591400,"CHARLOTTESVILLE"
1990,NA,"Average",1.7,2813,4,2,1,9,0.342,564700,"CHARLOTTESVILLE"
1991,NA,"Average",1.5,3027,5,3,1,12,0.346,672600,"CHARLOTTESVILLE"
1989,NA,"Average",1.7,2868,4,2,1,9,0.324,616200,"CHARLOTTESVILLE"
1990,NA,"Average",2,2660,4,2,1,9,0.38,509000,"CHARLOTTESVILLE"
1989,NA,"Average",2,3084,4,3,1,10,0.347,569600,"CHARLOTTESVILLE"
1990,NA,"Average",2,3042,4,2,1,8,0.393,601300,"CHARLOTTESVILLE"
1990,NA,"Average",2,3555,5,3,1,10,0.43,642100,"CHARLOTTESVILLE"
1990,NA,"Average",1.3,3040,4,2,1,7,0.479,546400,"CHARLOTTESVILLE"
1989,NA,"Average",2,2676,4,2,1,9,0.369,517900,"CHARLOTTESVILLE"
1989,NA,"Average",2,2676,4,2,1,9,0.289,501100,"CHARLOTTESVILLE"
1991,NA,"Average",2,2746,4,3,0,9,0.23,499500,"CHARLOTTESVILLE"
1990,2018,"Good",2,2844,4,3,0,9,0.273,567300,"CHARLOTTESVILLE"
1990,NA,"Average",2,3126,4,3,0,9,0.332,571900,"CHARLOTTESVILLE"
1989,NA,"Average",2,2608,4,2,1,8,0.379,490100,"CHARLOTTESVILLE"
1989,NA,"Average",1.7,2764,4,2,1,9,0.282,490800,"CHARLOTTESVILLE"
1989,NA,"Average",2,3122,5,3,1,10,0.347,591500,"CHARLOTTESVILLE"
1991,NA,"Average",2,2381,4,2,2,8,0.336,477400,"CHARLOTTESVILLE"
1991,NA,"Average",2,2873,4,2,1,8,0.459,506800,"CHARLOTTESVILLE"
1991,NA,"Average",2,2782,4,3,0,12,0.321,487100,"CHARLOTTESVILLE"
1990,NA,"Average",1.5,2594,4,4,0,10,0.361,537500,"CHARLOTTESVILLE"
1989,NA,"Good",2,2119,4,2,2,9,0.244,470500,"CHARLOTTESVILLE"
1990,NA,"Average",2,2733,5,3,0,9,0.294,444900,"CHARLOTTESVILLE"
1990,NA,"Average",2,2716,5,3,0,9,0.533,507200,"CHARLOTTESVILLE"
1990,NA,"Average",2,2748,4,2,2,8,0.496,516400,"CHARLOTTESVILLE"
1989,NA,"Average",2,2879,4,2,1,8,0.392,447100,"CHARLOTTESVILLE"
1991,NA,"Average",1.5,2692,4,3,2,8,0.352,550900,"CHARLOTTESVILLE"
1990,NA,"Average",1.7,2780,4,2,1,8,0.378,478500,"CHARLOTTESVILLE"
1990,NA,"Average",2,2034,4,2,1,8,0.261,441200,"CHARLOTTESVILLE"
1989,NA,"Good",2,2301,4,2,1,8,0.279,480200,"CHARLOTTESVILLE"
1989,NA,"Average",2,2119,4,2,1,8,0.286,415900,"CHARLOTTESVILLE"
1990,NA,"Good",2,2490,5,4,1,12,0.29,520200,"CHARLOTTESVILLE"
1989,NA,"Good",2,2107,4,2,1,8,0.301,471200,"CHARLOTTESVILLE"
1990,NA,"Good",2,2098,4,2,1,8,0.27,438100,"CHARLOTTESVILLE"
1989,NA,"Average",2,2304,4,3,1,9,0.219,458100,"CHARLOTTESVILLE"
1989,NA,"Average",1,2339,3,3,0,9,0.376,529300,"CHARLOTTESVILLE"
1989,NA,"Average",2,2132,4,2,1,9,0.321,429600,"CHARLOTTESVILLE"
1989,NA,"Average",2,2179,4,2,2,9,0.294,417000,"CHARLOTTESVILLE"
1989,2019,"Good",2,2120,4,2,1,8,0.299,470900,"CHARLOTTESVILLE"
1989,NA,"Average",2,2100,4,2,1,9,0.274,438300,"CHARLOTTESVILLE"
1989,NA,"Good",2,2120,4,2,1,8,0.471,522500,"CHARLOTTESVILLE"
1989,NA,"Good",1.7,2704,5,3,0,9,0.443,639200,"CHARLOTTESVILLE"
1989,NA,"Good",2,2369,5,3,1,10,0.287,521100,"CHARLOTTESVILLE"
1989,NA,"Good",2,2276,4,2,1,8,0.232,467600,"CHARLOTTESVILLE"
1989,NA,"Good",1.5,2329,4,2,2,10,0.232,522200,"CHARLOTTESVILLE"
1989,2018,"Good",2,2110,4,2,2,9,0.226,479800,"CHARLOTTESVILLE"
1989,NA,"Average",1.8,2569,5,4,1,10,0.242,523100,"CHARLOTTESVILLE"
1989,NA,"Average",2,2560,5,3,1,11,0.346,512500,"CHARLOTTESVILLE"
1989,NA,"Average",2,2297,4,2,1,8,0.205,460400,"CHARLOTTESVILLE"
1989,2018,"Good",2,1837,4,3,1,8,0.21,445900,"CHARLOTTESVILLE"
1989,NA,"Average",2,2227,4,2,1,8,0.214,417900,"CHARLOTTESVILLE"
1989,NA,"Average",2,2370,4,2,1,8,0.309,455000,"CHARLOTTESVILLE"
1989,NA,"Average",2,2377,5,3,1,10,0.623,519600,"CHARLOTTESVILLE"
1989,NA,"Average",1.8,2569,3,3,1,8,0.427,541400,"CHARLOTTESVILLE"
1989,NA,"Average",2,2123,4,2,1,8,0.238,438800,"CHARLOTTESVILLE"
1989,NA,"Average",2,2208,5,3,1,10,0.23,434100,"CHARLOTTESVILLE"
1989,NA,"Fair",2,2236,4,2,1,8,0.282,382600,"CHARLOTTESVILLE"
1989,NA,"Good",2,2462,4,3,1,9,0.308,522400,"CHARLOTTESVILLE"
1989,NA,"Average",2,2111,4,2,1,8,0.3,423100,"CHARLOTTESVILLE"
1989,NA,"Average",2,2301,4,2,1,8,0.279,434800,"CHARLOTTESVILLE"
1989,NA,"Average",2,2128,4,2,1,8,0.318,424900,"CHARLOTTESVILLE"
1989,NA,"Average",1.7,1977,3,2,1,8,0.472,437200,"CHARLOTTESVILLE"
1989,2018,"Good",2,2112,4,2,1,8,0.417,461400,"CHARLOTTESVILLE"
1989,NA,"Average",2,2129,4,2,1,8,0.442,425400,"CHARLOTTESVILLE"
1989,NA,"Average",1.75,2385,4,2,1,8,0.586,458500,"CHARLOTTESVILLE"
1989,NA,"Average",1.7,2381,4,3,1,8,0.313,472900,"CHARLOTTESVILLE"
1989,NA,"Good",2,3594,4,2,1,9,0.413,600500,"CHARLOTTESVILLE"
1989,NA,"Good",1.7,2670,4,2,1,9,0.492,544700,"CHARLOTTESVILLE"
1989,NA,"Fair",2,2236,4,2,1,8,0.341,382300,"CHARLOTTESVILLE"
1989,NA,"Good",2,2092,4,2,2,10,0.429,494400,"CHARLOTTESVILLE"
1989,2017,"Good",2,2208,4,2,1,8,0.417,461000,"CHARLOTTESVILLE"
1990,NA,"Average",2,1666,3,2,1,6,0.266,343900,"CHARLOTTESVILLE"
1989,NA,"Average",2,1532,3,2,1,6,0.286,322700,"CHARLOTTESVILLE"
1989,NA,"Average",2,2244,4,2,1,8,0.244,382900,"CHARLOTTESVILLE"
1989,NA,"Good",2,1920,4,2,1,7,0.219,404100,"CHARLOTTESVILLE"
1989,NA,"Average",2,1770,4,3,1,9,0.21,368500,"CHARLOTTESVILLE"
1990,NA,"Good",2,1468,3,2,1,6,0.176,331200,"CHARLOTTESVILLE"
1989,NA,"Average",2,1867,4,3,1,9,0.177,385200,"CHARLOTTESVILLE"
1990,NA,"Good",2,1795,4,2,1,9,0.198,401400,"CHARLOTTESVILLE"
1990,NA,"Good",2,1760,4,2,1,8,0.216,377100,"CHARLOTTESVILLE"
1989,NA,"Good",2,1824,5,3,1,11,0.234,418400,"CHARLOTTESVILLE"
1989,NA,"Average",2,1770,4,3,1,9,0.253,364800,"CHARLOTTESVILLE"
1989,NA,"Average",2,1949,4,2,1,8,0.26,367800,"CHARLOTTESVILLE"
1989,NA,"Average",2,1344,3,2,2,8,0.24,332900,"CHARLOTTESVILLE"
1989,NA,"Average",2,1760,4,2,1,8,0.241,362900,"CHARLOTTESVILLE"
1989,NA,"Average",2,1344,3,2,1,7,0.443,340100,"CHARLOTTESVILLE"
1989,NA,"Average",2,1796,4,2,1,8,0.355,365700,"CHARLOTTESVILLE"
1989,NA,"Average",2,1786,4,3,1,10,0.284,386200,"CHARLOTTESVILLE"
1989,NA,"Average",2,1770,4,2,1,9,0.313,365100,"CHARLOTTESVILLE"
1989,NA,"Good",2,1757,4,3,1,9,0.323,398600,"CHARLOTTESVILLE"
1989,NA,"Average",1.7,1697,3,2,1,7,0.279,353800,"CHARLOTTESVILLE"
1989,NA,"Average",2,1818,4,2,1,8,0.259,392300,"CHARLOTTESVILLE"
1989,NA,"Average",2,1888,4,2,2,10,0.227,394700,"CHARLOTTESVILLE"
1989,NA,"Fair",2,1417,3,2,1,6,0.223,302300,"CHARLOTTESVILLE"
1989,NA,"Average",2,1813,4,3,1,10,0.222,372900,"CHARLOTTESVILLE"
2006,NA,"Average",2,2904,4,3,0,8,0.339,541200,"CHARLOTTESVILLE"
1989,NA,"Average",1.5,1734,3,2,1,7,0.236,369000,"CHARLOTTESVILLE"
1989,NA,"Good",2,1808,4,2,1,8,0.251,398000,"CHARLOTTESVILLE"
1989,NA,"Good",2,1777,4,2,1,8,0.245,371700,"CHARLOTTESVILLE"
1989,NA,"Good",2,1726,4,2,2,8,0.265,406500,"CHARLOTTESVILLE"
1990,NA,"Average",2,1796,3,2,1,7,0.231,361500,"CHARLOTTESVILLE"
1989,NA,"Average",1.5,2090,4,2,1,8,0.222,391800,"CHARLOTTESVILLE"
1989,NA,"Good",2,1896,4,2,1,8,0.282,390000,"CHARLOTTESVILLE"
1989,NA,"Good",2,1757,4,2,1,8,0.327,375700,"CHARLOTTESVILLE"
1990,NA,"Good",2,1862,4,3,1,9,0.44,412600,"CHARLOTTESVILLE"
1989,NA,"Average",2,1741,4,3,1,9,0.585,406600,"CHARLOTTESVILLE"
1989,2021,"Excellent",2,1824,4,2,1,8,0.379,432700,"CHARLOTTESVILLE"
1989,NA,"Average",2,1755,4,2,2,8,0.617,389900,"CHARLOTTESVILLE"
1989,NA,"Good",2,1757,4,3,1,8,0.378,404000,"CHARLOTTESVILLE"
1989,NA,"Good",2,2136,4,2,1,8,0.259,428600,"CHARLOTTESVILLE"
1989,NA,"Good",2,1755,4,2,2,8,0.246,398900,"CHARLOTTESVILLE"
1989,2018,"Good",1,1344,3,3,0,10,0.273,407500,"CHARLOTTESVILLE"
1989,NA,"Average",2,1970,4,2,1,8,0.253,377900,"CHARLOTTESVILLE"
1989,NA,"Average",2,1824,4,3,1,9,0.261,382000,"CHARLOTTESVILLE"
1754,NA,"Average",1,1008,0,0,0,0,NA,NA,NA
1989,NA,"Average",2,1754,4,2,1,8,0.253,361300,"CHARLOTTESVILLE"
1989,NA,"Average",2,1863,4,2,1,8,0.323,376100,"CHARLOTTESVILLE"
1989,NA,"Good",2,1824,4,3,1,9,0.365,414600,"CHARLOTTESVILLE"
1989,NA,"Good",2,1792,4,2,1,8,0.355,403700,"CHARLOTTESVILLE"
1994,NA,"Good",2,1885,4,3,1,9,0.338,405500,"CHARLOTTESVILLE"
2007,NA,"Average",2,2419,4,2,1,8,0.271,421000,"CHARLOTTESVILLE"
1990,NA,"Good",2,1810,4,3,1,9,0.31,401400,"CHARLOTTESVILLE"
1989,NA,"Average",2,1417,3,2,1,6,0.312,320300,"CHARLOTTESVILLE"
1989,NA,"Average",2,1824,4,2,1,8,0.46,360600,"CHARLOTTESVILLE"
1989,NA,"Average",2,1758,4,2,1,8,0.389,351200,"CHARLOTTESVILLE"
1989,2019,"Good",2,1824,5,3,1,10,0.418,408700,"CHARLOTTESVILLE"
1989,NA,"Average",2,1836,5,3,1,10,0.433,397600,"CHARLOTTESVILLE"
1989,NA,"Average",2,1904,4,2,1,8,0.292,357400,"CHARLOTTESVILLE"
1989,NA,"Average",2,1771,4,2,1,8,0.417,358300,"CHARLOTTESVILLE"
1989,NA,"Average",1,1272,3,2,0,6,0.523,344600,"CHARLOTTESVILLE"
1989,NA,"Good",2,1630,4,2,1,7,0.242,362900,"CHARLOTTESVILLE"
1989,NA,"Average",1,1344,3,2,0,8,0.302,370500,"CHARLOTTESVILLE"
1989,NA,"Average",2,1752,4,3,1,9,0.399,376400,"CHARLOTTESVILLE"
1992,NA,"Average",1,1406,3,2,0,6,0.357,355600,"CHARLOTTESVILLE"
1992,NA,"Average",2,1734,3,2,1,7,0.338,341600,"CHARLOTTESVILLE"
1989,NA,"Average",1.7,1756,3,2,1,7,0.35,357400,"CHARLOTTESVILLE"
1989,NA,"Average",2,1448,3,2,1,6,0.302,325400,"CHARLOTTESVILLE"
1989,2018,"Good",2,1824,4,2,1,8,0.299,379800,"CHARLOTTESVILLE"
1989,NA,"Average",2,1904,4,2,1,8,0.287,360500,"CHARLOTTESVILLE"
1989,NA,"Good",2,1480,3,2,1,6,0.261,350100,"CHARLOTTESVILLE"
1989,NA,"Average",2,1824,4,2,1,8,0.252,369700,"CHARLOTTESVILLE"
1989,NA,"Average",2,1811,4,2,1,8,0.286,347400,"CHARLOTTESVILLE"
1989,NA,"Average",2,2011,4,2,1,8,0.318,393200,"CHARLOTTESVILLE"
1989,NA,"Average",2,1468,4,2,1,8,0.261,318600,"CHARLOTTESVILLE"
1989,NA,"Average",1.7,1808,3,2,1,8,0.269,368900,"CHARLOTTESVILLE"
1989,NA,"Average",1.7,1696,3,2,1,7,0.249,346400,"CHARLOTTESVILLE"
1989,NA,"Average",2,1758,4,3,1,9,0.258,368400,"CHARLOTTESVILLE"
1990,NA,"Average",2,1468,3,2,1,6,0.262,315500,"CHARLOTTESVILLE"
1989,NA,"Average",2,1758,4,2,1,8,0.356,362800,"CHARLOTTESVILLE"
1990,NA,"Good",2,1502,4,2,1,8,0.432,353600,"CHARLOTTESVILLE"
1989,NA,"Average",2,1816,4,2,1,8,0.37,353000,"CHARLOTTESVILLE"
1989,NA,"Good",2,1984,4,2,1,9,0.542,416500,"CHARLOTTESVILLE"
1989,NA,"Average",2,1448,3,2,1,6,0.355,321400,"CHARLOTTESVILLE"
1989,NA,"Average",2,1656,3,2,1,7,0.303,334400,"CHARLOTTESVILLE"
1989,NA,"Average",1,1272,3,2,0,6,0.261,322800,"CHARLOTTESVILLE"
1990,NA,"Average",2,1724,3,2,1,7,0.222,345100,"CHARLOTTESVILLE"
1990,NA,"Good",2,1448,3,2,1,7,0.281,336400,"CHARLOTTESVILLE"
1989,NA,"Average",2,2007,4,2,1,8,0.318,372600,"CHARLOTTESVILLE"
1991,NA,"Average",1.7,2249,4,2,1,9,0.222,431500,"CHARLOTTESVILLE"
1994,NA,"Average",1.3,2043,3,3,0,8,0.241,452000,"CHARLOTTESVILLE"
1990,NA,"Average",2,2093,4,2,1,9,0.289,430000,"CHARLOTTESVILLE"
1990,NA,"Average",2,2133,4,2,1,9,0.233,434700,"CHARLOTTESVILLE"
1991,NA,"Average",2,1922,4,2,1,9,0.211,418200,"CHARLOTTESVILLE"
1992,NA,"Average",2,2277,4,2,1,8,0.204,442000,"CHARLOTTESVILLE"
1990,NA,"Good",2,2096,4,2,1,8,0.207,435400,"CHARLOTTESVILLE"
1992,NA,"Average",2,2114,4,2,1,8,0.286,429300,"CHARLOTTESVILLE"
1991,NA,"Average",2,2115,4,2,1,8,0.273,430800,"CHARLOTTESVILLE"
1990,NA,"Average",1,1752,3,2,0,7,0.297,431700,"CHARLOTTESVILLE"
1992,NA,"Good",2,2240,4,3,1,10,0.2,480100,"CHARLOTTESVILLE"
1992,NA,"Good",2,2053,5,3,1,9,0.237,447100,"CHARLOTTESVILLE"
1992,NA,"Average",2,2286,4,3,1,8,0.252,462700,"CHARLOTTESVILLE"
1991,NA,"Good",2,2174,4,2,1,8,0.271,450700,"CHARLOTTESVILLE"
1990,NA,"Good",2,2170,4,2,1,8,0.247,444300,"CHARLOTTESVILLE"
1990,NA,"Average",2,2306,4,2,1,8,0.31,449600,"CHARLOTTESVILLE"
1991,NA,"Average",2,2166,4,2,1,9,0.283,445500,"CHARLOTTESVILLE"
1991,NA,"Good",2,2120,4,2,1,8,0.247,440300,"CHARLOTTESVILLE"
1992,NA,"Average",2,2229,4,2,1,8,0.234,418500,"CHARLOTTESVILLE"
1992,NA,"Average",1.7,2389,4,2,1,8,0.236,433900,"CHARLOTTESVILLE"
1992,NA,"Average",2,2264,4,2,1,9,0.298,446800,"CHARLOTTESVILLE"
1991,NA,"Good",1.7,2409,4,3,1,8,0.494,513000,"CHARLOTTESVILLE"
1992,NA,"Good",1,1584,3,2,0,7,0.363,452800,"CHARLOTTESVILLE"
1992,2020,"Excellent",2,2453,4,3,1,9,0.258,561900,"CHARLOTTESVILLE"
1992,NA,"Average",1,1806,3,2,0,6,0.258,438500,"CHARLOTTESVILLE"
1993,NA,"Average",2,2205,4,2,1,8,0.242,428000,"CHARLOTTESVILLE"
1993,NA,"Average",1,1590,3,2,0,6,0.277,396600,"CHARLOTTESVILLE"
1993,2016,"Good",2,1985,4,2,2,9,0.265,456100,"CHARLOTTESVILLE"
1992,NA,"Average",2,2253,4,2,1,9,0.27,460300,"CHARLOTTESVILLE"
1991,NA,"Average",2,2337,4,2,1,8,0.31,460000,"CHARLOTTESVILLE"
1991,NA,"Good",2,2223,4,2,1,8,0.369,495400,"CHARLOTTESVILLE"
1992,NA,"Good",2,1942,4,2,1,8,0.225,441400,"CHARLOTTESVILLE"
1992,NA,"Good",2,2178,4,2,1,8,0.288,451400,"CHARLOTTESVILLE"
1991,NA,"Good",2,2113,4,2,1,8,0.338,441900,"CHARLOTTESVILLE"
1991,NA,"Average",2,2404,4,2,1,8,0.328,440500,"CHARLOTTESVILLE"
1992,NA,"Average",2,2247,4,2,1,8,0.286,428800,"CHARLOTTESVILLE"
1993,NA,"Good",2,1962,4,2,0,7,0.271,427100,"CHARLOTTESVILLE"
1993,NA,"Average",2,2797,6,3,1,11,0.325,551200,"CHARLOTTESVILLE"
1991,NA,"Average",2,3010,4,2,1,9,0.313,511100,"CHARLOTTESVILLE"
1990,NA,"Average",2,3317,4,3,1,8,0.376,614300,"CHARLOTTESVILLE"
1990,NA,"Average",1.7,3217,4,3,0,8,0.323,499200,"CHARLOTTESVILLE"
1991,2018,"Excellent",2,2610,5,3,0,9,0.444,527300,"CHARLOTTESVILLE"
1990,NA,"Average",2,2798,4,2,1,8,0.433,527600,"CHARLOTTESVILLE"
1991,NA,"Average",2,2436,4,3,1,10,0.587,474400,"CHARLOTTESVILLE"
1993,NA,"Average",2,2403,4,2,1,9,0.342,422800,"CHARLOTTESVILLE"
1991,NA,"Average",2,2564,4,3,1,9,0.561,511700,"CHARLOTTESVILLE"
1991,NA,"Average",2,3030,4,2,1,8,0.429,496400,"CHARLOTTESVILLE"
1991,NA,"Average",2,2436,4,2,1,8,0.222,412600,"CHARLOTTESVILLE"
1993,NA,"Average",1.7,2921,4,2,1,9,0.253,464800,"CHARLOTTESVILLE"
1994,NA,"Average",1.5,2211,4,2,1,7,0.234,421900,"CHARLOTTESVILLE"
1990,NA,"Average",2,2482,4,2,1,9,0.356,481400,"CHARLOTTESVILLE"
1990,NA,"Average",2,2211,4,2,1,8,0.322,439100,"CHARLOTTESVILLE"
1990,NA,"Good",1.9,2631,4,3,1,8,0.386,554500,"CHARLOTTESVILLE"
1994,NA,"Average",2,2015,4,2,1,8,0.297,412200,"CHARLOTTESVILLE"
1994,NA,"Good",1.5,1830,4,2,1,8,0.289,420500,"CHARLOTTESVILLE"
1990,2020,"Good",2,2139,4,2,1,9,0.215,450300,"CHARLOTTESVILLE"
1990,NA,"Average",1.7,2249,4,2,1,8,0.303,431600,"CHARLOTTESVILLE"
1993,NA,"Good",1,1804,3,2,0,7,0.3,486300,"CHARLOTTESVILLE"
1990,NA,"Average",2,2560,4,2,1,9,0.292,495500,"CHARLOTTESVILLE"
1990,NA,"Good",2,2585,4,2,1,8,0.261,529300,"CHARLOTTESVILLE"
1990,NA,"Good",2,2683,4,4,1,9,0.29,546200,"CHARLOTTESVILLE"
1990,NA,"Average",2,2136,4,2,1,9,0.344,442800,"CHARLOTTESVILLE"
1991,NA,"Average",1,2095,3,3,0,8,0.288,476600,"CHARLOTTESVILLE"
1990,NA,"Average",2,2373,4,2,1,9,0.282,437300,"CHARLOTTESVILLE"
1995,NA,"Average",2,2918,4,2,1,9,0.223,488600,"CHARLOTTESVILLE"
1990,NA,"Average",2,1959,4,2,1,10,0.299,422100,"CHARLOTTESVILLE"
2007,NA,"Average",1.9,1672,3,2,1,6,0.58,410300,"KESWICK"
1990,NA,"Average",2,1936,4,2,1,8,0.296,415100,"CHARLOTTESVILLE"
1995,NA,"Average",2,2373,4,3,1,9,0.258,470100,"CHARLOTTESVILLE"
1990,NA,"Average",2,2266,4,3,1,9,0.251,455200,"CHARLOTTESVILLE"
1991,NA,"Average",2,2560,4,2,1,9,0.549,499900,"CHARLOTTESVILLE"
1995,NA,"Average",2,2498,5,3,1,10,0.393,508500,"CHARLOTTESVILLE"
1993,NA,"Average",2,2257,4,2,1,8,0.312,451700,"CHARLOTTESVILLE"
1992,NA,"Average",2,2927,4,3,1,9,0.294,545300,"CHARLOTTESVILLE"
1990,NA,"Average",2,2482,4,2,1,8,0.31,466400,"CHARLOTTESVILLE"
1991,NA,"Average",2,2764,4,2,1,8,0.359,490800,"CHARLOTTESVILLE"
1991,2018,"Good",2,2450,4,2,1,8,0.36,482700,"CHARLOTTESVILLE"
1990,NA,"Average",2,2609,4,2,1,8,0.379,491900,"CHARLOTTESVILLE"
1990,NA,"Average",2,2263,4,2,1,8,0.405,453200,"CHARLOTTESVILLE"
1990,NA,"Good",2,2328,4,3,1,11,0.449,512800,"CHARLOTTESVILLE"
1991,NA,"Average",2,1397,3,2,1,6,0.208,309900,"CHARLOTTESVILLE"
1990,NA,"Average",2,1822,4,2,1,8,0.244,349700,"CHARLOTTESVILLE"
1990,NA,"Average",2,1952,4,2,1,8,0.213,375600,"CHARLOTTESVILLE"
1991,NA,"Average",2,1818,4,2,1,8,0.182,361400,"CHARLOTTESVILLE"
1991,NA,"Average",2,1832,4,2,1,8,0.175,367700,"CHARLOTTESVILLE"
1990,NA,"Average",1,1346,3,2,0,6,0.199,334200,"CHARLOTTESVILLE"
1991,NA,"Average",2,1917,4,2,1,9,0.252,395900,"CHARLOTTESVILLE"
1992,NA,"Average",2,1913,4,2,1,9,0.308,385900,"CHARLOTTESVILLE"
1992,NA,"Average",2,1913,4,2,1,9,0.288,384100,"CHARLOTTESVILLE"
1991,2019,"Good",2,1917,4,2,1,8,0.213,423200,"CHARLOTTESVILLE"
1990,NA,"Average",2,1469,3,3,1,7,0.24,347200,"CHARLOTTESVILLE"
1990,NA,"Fair",1.5,1817,4,3,1,9,0.243,356500,"CHARLOTTESVILLE"
1991,NA,"Average",2,1472,3,2,2,7,0.205,348100,"CHARLOTTESVILLE"
1990,NA,"Average",2,1824,4,2,1,8,0.244,377400,"CHARLOTTESVILLE"
1990,NA,"Average",2,1810,4,2,1,8,0.211,357700,"CHARLOTTESVILLE"
1990,NA,"Average",2,1783,4,2,1,9,0.185,369400,"CHARLOTTESVILLE"
1991,NA,"Average",2,1824,4,2,1,8,0.179,366200,"CHARLOTTESVILLE"
1990,NA,"Average",2,1822,4,2,1,8,0.22,370100,"CHARLOTTESVILLE"
1990,NA,"Average",2,1769,4,2,1,8,0.209,361700,"CHARLOTTESVILLE"
1990,NA,"Average",2,2007,4,2,1,8,0.199,377900,"CHARLOTTESVILLE"
1990,NA,"Average",2,1973,4,2,1,8,0.197,377400,"CHARLOTTESVILLE"
1990,NA,"Average",2,1824,5,3,1,10,0.209,402100,"CHARLOTTESVILLE"
1990,NA,"Average",2,1744,4,2,1,8,0.209,375400,"CHARLOTTESVILLE"
1990,NA,"Average",2,1352,3,2,1,9,0.205,335800,"CHARLOTTESVILLE"
1990,NA,"Average",2,1805,4,3,1,9,0.183,398200,"CHARLOTTESVILLE"
1990,NA,"Average",2,1832,4,2,1,8,0.258,372300,"CHARLOTTESVILLE"
1994,2018,"Good",2,1926,4,2,1,9,0.338,440100,"CHARLOTTESVILLE"
1992,NA,"Average",2,1895,4,2,1,10,0.259,400600,"CHARLOTTESVILLE"
1991,NA,"Average",2,1884,5,3,1,8,0.238,394200,"CHARLOTTESVILLE"
1990,NA,"Average",2,1796,4,2,1,8,0.194,353400,"CHARLOTTESVILLE"
1990,2018,"Good",2,1796,4,2,1,11,0.212,406200,"CHARLOTTESVILLE"
1990,NA,"Average",2,1814,4,2,1,8,0.209,357800,"CHARLOTTESVILLE"
1990,NA,"Average",1,1344,3,3,0,8,0.209,369400,"CHARLOTTESVILLE"
1990,NA,"Average",2,1597,4,2,1,9,0.247,354400,"CHARLOTTESVILLE"
1990,NA,"Average",2,1882,4,2,1,8,0.243,365500,"CHARLOTTESVILLE"
1990,NA,"Good",2,1836,4,2,1,8,0.25,391400,"CHARLOTTESVILLE"
1990,NA,"Average",2,1824,4,2,1,8,0.261,360200,"CHARLOTTESVILLE"
1990,NA,"Average",2,1724,3,2,1,8,0.265,354400,"CHARLOTTESVILLE"
1990,NA,"Average",2,2703,5,2,1,10,0.239,427800,"CHARLOTTESVILLE"
1990,NA,"Good",2,1450,4,2,1,8,0.231,336200,"CHARLOTTESVILLE"
1993,NA,"Average",2,1974,4,2,1,8,0.266,409300,"CHARLOTTESVILLE"
1993,NA,"Good",2,1840,4,2,1,8,0.254,432900,"CHARLOTTESVILLE"
1993,NA,"Average",2,3464,6,4,1,12,0.254,550000,"CHARLOTTESVILLE"
1992,2020,"Good",1,1765,3,2,0,7,0.318,461200,"CHARLOTTESVILLE"
1996,NA,"Average",2,2707,5,3,1,10,0.176,515500,"CHARLOTTESVILLE"
1992,NA,"Average",2,2323,4,2,1,8,0.263,433200,"CHARLOTTESVILLE"
