"YearBuilt","YearRemodeled","Condition","NumStories","FinSqFt","Bedroom","FullBath","HalfBath","TotalRooms","LotSize","TotalValue","City"
2018,NA,"Average",2,2832,4,4,1,9,57.756,636600,"FREE UNION"
1986,NA,"Average",1,1000,4,1,1,6,2.1,239600,"FREE UNION"
1930,NA,"Average",1,1030,3,1,0,5,2.904,168300,"FREE UNION"
1998,2017,"Average",1,2275,3,2,0,5,33.256,506800,"FREE UNION"
1985,NA,"Average",1,1454,3,2,0,6,76.84,953400,"FREE UNION"
1986,NA,"Average",1,1456,3,2,0,5,5.03,202900,"FREE UNION"
1930,NA,"Fair",1,856,2,1,0,4,61.6,88100,"FREE UNION"
NA,NA,NA,NA,NA,NA,NA,NA,NA,51.859,515200,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,51.858,527700,"FREE UNION"
1910,NA,"Very Poor",2,1739,4,1,0,8,121.77,142700,"FREE UNION"
1920,NA,"Very Poor",1.3,1598,2,1,0,5,17.45,222700,"CROZET"
1886,NA,"Fair",1.9,1861,4,1,0,6,3.88,188200,"CROZET"
1995,NA,"Average",1,3384,1,2,1,5,NA,NA,NA
1995,NA,"Average",1,884,2,2,0,3,NA,NA,NA
1932,2018,"Excellent",1.3,3315,4,4,0,10,5,622200,"CROZET"
1960,NA,"Average",1,1152,2,1,0,4,5,228200,"CROZET"
1995,NA,"Average",1.5,3429,3,2,1,7,28.423,943200,"CROZET"
1950,NA,"Very Poor",2,904,3,0,0,4,228.14,178200,"CROZET"
2022,NA,"Average",1,2175,2,2,1,5,94.298,370000,"FREE UNION"
1980,NA,"Average",1.3,2380,2,2,0,5,13.702,378900,"FREE UNION"
1907,2003,"Excellent",1.3,2864,4,3,1,10,96.09,1018300,"FREE UNION"
1982,NA,"Average",1.7,2142,5,2,0,10,56.31,1314900,"FREE UNION"
2006,NA,"Average",1.7,2684,3,3,0,8,25,716000,"FREE UNION"
1991,NA,"Average",1,1474,4,4,0,8,14.75,582200,"FREE UNION"
NA,NA,NA,2,3988,3,3,1,7,5.03,636800,"FREE UNION"
2018,NA,"Average",2,2070,3,3,0,7,5.1,429500,"FREE UNION"
1996,NA,"Average",1.5,1414,3,2,0,6,5.1,268500,"FREE UNION"
1856,NA,"Average",2,4768,2,1,1,6,83.02,1154600,"CROZET"
1989,NA,"Average",1,1352,2,2,0,5,NA,NA,NA
1920,NA,"Poor",2,1152,4,0,0,7,NA,NA,NA
2021,NA,"Average",2,2800,1,2,1,6,NA,NA,NA
1910,NA,"Fair",1.5,1132,3,1,0,6,8.838,192700,"FREE UNION"
1954,NA,"Average",1.5,946,4,1,0,6,5.8,208100,"FREE UNION"
1987,NA,"Average",1,1344,3,2,0,5,2.344,285700,"FREE UNION"
1988,NA,"Average",1.3,2332,3,3,0,7,2.163,323400,"FREE UNION"
1989,NA,"Average",1,1480,3,2,1,0,2.083,210300,"CROZET"
1966,NA,"Average",1,1544,3,2,1,6,120.28,393800,"CROZET"
1986,NA,"Average",1,1288,3,2,0,6,35,178200,"FREE UNION"
2002,NA,"Average",1,1976,4,3,0,0,5,289500,"FREE UNION"
1989,NA,"Average",1,2088,3,2,0,7,42.862,572900,"FREE UNION"
1990,2008,"Good",1,864,3,1,0,5,5.62,286000,"FREE UNION"
1968,NA,"Average",1,1640,3,1,0,5,3.008,247800,"FREE UNION"
1981,NA,"Average",1.7,2346,3,2,0,7,15.7,541900,"FREE UNION"
1971,NA,"Average",1,1526,3,2,0,7,15.7,514600,"FREE UNION"
2022,NA,"Average",2,4392,4,7,1,10,18.54,615900,"FREE UNION"
1900,NA,"Average",1,912,2,1,0,5,NA,NA,NA
1988,NA,"Average",1,952,2,1,0,4,NA,NA,NA
2001,NA,"Average",1,1572,3,2,0,6,2,311800,"FREE UNION"
1906,1995,"Average",1.5,1144,3,1,0,5,51.04,443600,"DYKE"
1978,NA,"Fair",1,1260,2,1,0,4,NA,NA,NA
1992,NA,"Average",1,1690,2,1,0,2,NA,NA,NA
1754,NA,"Very Poor",0,863,0,0,0,0,13.525,171500,"DYKE"
1964,NA,"Average",1,1117,3,2,0,7,4.834,248500,"DYKE"
1975,NA,"Average",1,1008,3,2,0,7,23.5,475200,"DYKE"
2004,NA,"Average",1,2134,3,2,1,0,12.111,6e+05,"DYKE"
1962,NA,"Average",1,1071,3,1,0,6,2.812,265000,"DYKE"
1967,NA,"Average",1,1344,2,1,0,4,3.491,305400,"DYKE"
2003,NA,"Average",1.5,1384,1,1,1,0,5.501,473400,"DYKE"
2013,NA,"Average",1,1363,4,2,0,7,2.15,238400,"DYKE"
1979,NA,"Average",1,1472,3,2,0,6,10,435900,NA
1964,NA,"Average",1,1200,4,2,0,7,6.899,301900,"DYKE"
1977,NA,"Average",1.3,1488,3,2,0,5,5.517,296900,"DYKE"
1977,NA,"Average",1,2646,3,2,0,6,3,426900,"DYKE"
1998,NA,"Average",2.3,2230,2,1,1,5,27.33,539500,"DYKE"
1979,NA,"Average",1,1566,3,2,0,6,5.879,391800,"DYKE"
1992,NA,"Fair",0,1008,2,1,0,0,5.05,97900,"DYKE"
1979,2002,"Average",1.5,1957,2,1,0,6,6.215,207900,"DYKE"
1960,NA,"Very Poor",0,500,2,1,0,0,26.84,265800,"DYKE"
1969,2006,"Average",2,2200,3,2,1,8,1.92,305600,"FREE UNION"
1967,NA,"Average",1,1470,3,1,0,4,NA,NA,NA
1960,NA,"Poor",1,673,2,1,0,0,NA,NA,NA
1950,NA,"Poor",1,720,3,1,0,5,NA,NA,NA
1983,NA,"Fair",1,1596,0,1,0,0,2,110900,"DYKE"
2006,NA,"Average",1,1620,3,2,1,5,7.436,357000,"DYKE"
1973,NA,"Fair",1,1120,3,2,0,5,NA,NA,NA
1982,2020,"Good",1,1092,3,2,0,5,NA,NA,NA
1995,NA,"Average",1,1512,3,2,0,6,1.85,118000,"DYKE"
1940,NA,"Poor",1,832,3,1,0,5,0.48,103700,"DYKE"
1960,NA,"Average",1,831,3,1,0,5,2.17,121700,"DYKE"
1973,NA,"Fair",1,1120,3,2,0,5,20,264700,"DYKE"
1982,2020,"Good",1,1092,3,2,0,5,13.63,296700,"DYKE"
1904,NA,"Fair",2,1822,5,2,0,8,23.25,334700,"DYKE"
1950,NA,"Fair",1.5,1742,4,1,0,6,1.25,164100,"DYKE"
1900,NA,"Average",2,1416,3,1,0,5,32,490700,"FREE UNION"
1967,NA,"Average",1,1489,4,3,0,6,16.23,549600,"FREE UNION"
1920,NA,"Average",2,1568,2,1,0,8,83.134,816700,"FREE UNION"
2006,NA,"Average",1,1406,2,2,0,8,26.13,722900,"FREE UNION"
1920,NA,"Fair",2,3101,5,1,0,9,3.02,298800,"FREE UNION"
2016,NA,"Average",NA,2325,3,2,0,7,4.71,669800,"FREE UNION"
2010,NA,"Average",1.5,2551,3,2,1,7,11.468,603400,"FREE UNION"
2007,NA,"Average",1,2293,3,2,0,6,5,559900,"FREE UNION"
1978,NA,"Average",1,1300,3,1,0,5,NA,NA,NA
1999,NA,"Average",1,1944,3,2,0,6,NA,NA,NA
1981,NA,"Fair",1,1405,4,2,0,7,4.425,297400,"DYKE"
1900,NA,"Poor",1.9,1936,4,1,0,8,94.24,822900,"DYKE"
1978,NA,"Average",1,1056,3,1,0,6,4.133,138800,"DYKE"
2004,NA,"Average",1.5,2174,3,2,1,10,5.447,591600,"DYKE"
1887,NA,"Poor",2,1280,3,1,0,0,NA,NA,NA
1995,NA,"Poor",1,1280,2,2,0,5,NA,NA,NA
1930,NA,"Poor",1,600,2,1,0,3,NA,NA,NA
1969,NA,"Average",1,1800,7,3,1,11,43.43,699600,"DYKE"
